"","Tumor_1","Tumor_2","Tumor_3","Tumor_4","Tumor_5","Tumor_6","Normal_1","Normal_2","Normal_3","Normal_4","Normal_5","Normal_6"
"GENE_00084",529,150,199,109,319,734,51,732,315,297,186,415
"GENE_00085",24,28,52,17,47,67,52,44,132,24,29,31
"GENE_00086",12,16,45,36,2,58,19,24,25,14,20,72
"GENE_00087",64,40,84,41,43,98,25,62,34,22,80,32
"GENE_00088",50,33,96,9,67,43,15,36,33,45,34,39
"GENE_00089",28,1,32,12,3,10,10,45,14,21,0,8
"GENE_00090",119,168,43,32,10,42,83,92,170,22,70,66
"GENE_00091",63,208,125,103,105,197,82,152,321,159,92,117
"GENE_00092",135,44,114,131,217,164,31,40,110,243,54,84
"GENE_00093",8,35,26,31,119,35,10,50,67,64,44,58
"GENE_00094",78,81,244,26,75,119,188,144,83,121,43,303
"GENE_00095",13,68,23,35,60,18,48,71,16,11,65,57
"GENE_00096",4,0,2,1,8,3,3,5,7,10,6,2
"GENE_00097",54,73,80,22,23,40,38,32,99,40,77,81
"GENE_00098",48,134,109,223,191,67,213,160,158,81,60,29
"GENE_00099",19,36,94,107,43,32,27,23,19,87,81,35
"GENE_00100",103,54,41,34,37,158,109,35,97,19,93,100
"GENE_00101",168,44,15,33,47,26,35,29,68,29,15,56
"GENE_00102",136,129,134,171,249,94,147,73,335,443,371,253
"GENE_00103",160,148,326,96,182,67,236,164,74,169,111,109
"GENE_00104",95,15,216,99,135,207,294,27,29,126,167,173
"GENE_00105",6,42,28,37,71,16,65,141,41,70,41,30
"GENE_00106",83,133,94,111,168,103,165,161,522,386,10,34
"GENE_00107",53,2,51,49,19,32,72,49,6,79,31,89
"GENE_00108",169,123,30,74,153,11,64,103,77,97,74,186
"GENE_00109",45,107,26,5,113,31,89,68,25,39,50,35
"GENE_00110",31,36,44,11,14,3,1,40,14,18,73,38
"GENE_00111",310,135,92,249,117,385,113,158,34,32,276,162
"GENE_00112",3,153,75,72,72,12,70,31,82,30,128,24
"GENE_00113",113,52,40,315,147,42,77,190,141,86,46,174
"GENE_00114",72,138,47,61,67,39,14,64,255,168,182,82
"GENE_00115",32,26,68,14,36,28,196,233,44,115,22,198
"GENE_00116",13,20,16,2,1,11,12,4,2,10,12,4
"GENE_00117",2,0,2,2,2,5,4,2,11,5,2,0
"GENE_00118",61,18,22,20,34,34,20,4,26,23,62,5
"GENE_00119",68,8,18,114,28,65,21,35,63,42,7,25
"GENE_00120",98,38,43,65,167,52,118,98,89,60,40,106
"GENE_00121",3,5,13,1,7,5,7,1,3,4,4,12
"GENE_00122",51,40,11,66,42,30,21,17,41,40,67,125
"GENE_00123",22,4,37,119,49,30,67,25,74,47,36,43
"GENE_00124",10,20,11,4,10,6,24,12,7,3,92,23
"GENE_00125",185,129,49,49,66,58,29,88,51,12,33,21
"GENE_00126",9,4,9,11,9,2,5,28,7,6,9,3
"GENE_00127",249,195,62,328,85,348,108,84,37,217,27,39
"GENE_00128",177,98,205,101,205,334,162,173,46,75,209,140
"GENE_00129",409,27,115,106,59,59,62,15,65,51,247,18
"GENE_00130",16,14,30,9,18,39,1,18,7,6,8,23
"GENE_00131",46,10,124,108,317,168,132,76,56,87,124,55
"GENE_00132",7,19,19,23,100,37,164,163,35,102,96,41
"GENE_00133",77,83,101,28,207,38,7,139,11,63,214,7
"GENE_00134",112,283,153,242,452,150,35,141,126,111,31,152
"GENE_00135",92,29,17,73,100,135,154,57,117,13,66,86
"GENE_00136",7,7,27,28,6,15,48,5,10,37,10,41
"GENE_00137",25,3,4,70,49,47,18,32,38,53,16,26
"GENE_00138",159,13,89,61,109,69,110,36,62,56,244,152
"GENE_00139",93,71,170,27,33,73,19,92,162,41,106,36
"GENE_00140",111,50,43,68,91,22,32,34,76,77,91,71
"GENE_00141",176,95,186,183,29,33,149,44,115,35,296,155
"GENE_00142",103,118,123,13,162,37,80,272,41,41,353,128
"GENE_00143",172,82,129,118,72,31,8,73,23,75,54,51
"GENE_00144",62,65,60,37,32,34,55,27,44,130,24,50
"GENE_00145",27,19,35,8,28,14,28,46,2,2,5,14
"GENE_00146",16,4,15,29,9,8,16,6,9,6,1,9
"GENE_00147",4,16,28,3,17,0,19,7,15,7,9,7
"GENE_00148",119,119,166,41,259,123,141,29,42,94,22,380
"GENE_00149",73,53,68,28,74,6,7,55,58,42,153,36
"GENE_00150",58,24,134,76,9,5,27,127,22,57,111,41
"GENE_00151",55,48,78,31,57,113,37,106,92,35,71,130
"GENE_00152",20,14,6,56,29,18,22,76,37,12,23,48
"GENE_00153",22,69,25,85,110,14,73,72,139,85,97,30
"GENE_00154",80,68,66,35,32,49,25,59,132,18,31,27
"GENE_00155",6,121,164,294,123,90,74,277,156,151,226,53
"GENE_00156",224,138,47,154,32,116,133,80,62,59,145,290
"GENE_00157",86,23,173,204,92,169,99,60,58,39,51,53
"GENE_00158",20,49,6,75,45,62,12,113,108,22,53,115
"GENE_00159",86,324,115,114,179,12,163,102,194,266,122,63
"GENE_00160",125,69,40,86,60,47,80,27,84,135,81,91
"GENE_00161",14,10,59,1,51,19,43,21,0,9,16,27
"GENE_00162",63,3,44,57,124,70,66,58,103,146,108,144
"GENE_00163",30,30,18,44,124,11,45,26,38,19,59,20
"GENE_00164",46,173,242,34,96,122,48,192,100,136,55,322
"GENE_00165",13,23,0,20,25,26,24,29,46,11,12,7
"GENE_00166",39,89,4,131,52,96,27,163,242,224,113,99
"GENE_00167",33,29,36,43,49,4,59,27,29,30,16,26
"GENE_00168",18,9,22,51,44,15,60,6,27,42,15,2
"GENE_00169",235,138,297,148,361,284,242,148,127,91,382,219
"GENE_00170",16,39,114,41,38,61,23,33,52,86,178,126
"GENE_00171",50,33,11,141,124,19,165,85,44,37,66,99
"GENE_00172",37,34,14,55,22,22,96,44,40,16,35,27
"GENE_00173",127,21,114,65,60,29,87,61,35,85,87,267
"GENE_00174",662,81,162,83,115,227,266,180,436,216,269,159
"GENE_00175",15,18,36,52,39,77,31,13,26,23,23,16
"GENE_00176",31,44,73,225,291,258,51,378,113,11,81,63
"GENE_00177",53,42,86,52,11,14,10,120,18,84,109,31
"GENE_00178",215,64,11,20,63,38,30,101,100,114,75,53
"GENE_00179",7,221,480,327,137,242,103,125,109,102,207,79
"GENE_00180",342,270,84,48,138,9,83,126,88,118,99,353
"GENE_00181",119,135,16,75,92,148,51,25,94,283,52,19
"GENE_00182",38,17,29,15,27,28,167,41,7,51,30,75
"GENE_00183",46,91,105,98,20,52,69,103,32,55,36,19
"GENE_00184",90,126,180,215,135,72,83,195,227,11,57,84
"GENE_00185",414,403,116,78,367,149,418,121,419,196,67,284
"GENE_00186",31,9,77,43,50,13,31,21,51,74,91,30
"GENE_00187",607,255,542,246,655,51,291,737,481,271,163,1162
"GENE_00188",31,13,38,71,28,11,63,36,28,86,23,59
"GENE_00189",58,84,24,56,223,88,138,41,215,136,250,227
"GENE_00190",28,43,52,25,57,13,63,42,41,79,45,98
"GENE_00191",12,7,23,2,24,24,28,9,31,21,11,9
"GENE_00192",181,13,53,7,42,27,38,28,8,36,59,4
"GENE_00193",11,13,26,31,32,16,22,7,33,95,30,6
"GENE_00194",159,342,216,68,115,169,53,110,123,203,88,9
"GENE_00195",73,12,41,217,177,187,95,75,54,204,141,83
"GENE_00196",14,61,58,11,51,12,24,47,31,63,17,54
"GENE_00197",8,1,3,13,24,4,6,0,4,10,19,25
"GENE_00198",96,93,292,113,138,76,31,114,200,308,79,159
"GENE_00199",86,132,70,278,166,129,58,55,75,158,236,64
"GENE_00200",58,77,40,53,4,44,17,50,44,145,51,22
"GENE_00201",12,54,26,49,119,15,2,19,65,96,28,31
"GENE_00202",82,151,201,534,123,244,108,124,37,140,201,255
"GENE_00203",115,87,74,182,82,62,85,111,35,69,87,67
"GENE_00204",15,13,2,19,4,35,13,30,6,51,5,22
"GENE_00205",144,37,79,193,26,14,19,79,40,139,346,82
"GENE_00206",55,222,164,144,125,100,68,121,26,53,137,67
"GENE_00207",16,43,39,26,16,124,122,49,29,5,22,18
"GENE_00208",87,1,59,28,42,74,0,21,8,21,29,37
"GENE_00209",30,50,36,32,70,43,10,41,34,29,11,16
"GENE_00210",310,108,4,75,61,121,44,100,90,49,42,49
"GENE_00211",14,162,142,120,119,80,69,47,175,47,37,152
"GENE_00212",9,71,36,37,36,36,43,18,75,9,40,28
"GENE_00213",74,95,91,685,62,146,208,231,198,97,293,625
"GENE_00214",26,31,4,7,12,33,22,11,16,11,22,22
"GENE_00215",68,153,33,42,72,39,307,53,110,85,32,53
"GENE_00216",70,18,136,34,79,90,49,181,105,47,43,37
"GENE_00217",147,106,122,194,381,140,416,826,174,360,189,307
"GENE_00218",191,46,146,140,207,114,103,3,115,27,54,167
"GENE_00219",127,52,9,43,107,78,190,109,58,99,132,76
"GENE_00220",357,189,393,237,310,401,386,221,280,172,172,270
"GENE_00221",150,90,205,10,100,22,20,109,137,80,85,27
"GENE_00222",8,25,20,28,9,6,3,35,7,6,28,47
"GENE_00223",7,80,12,61,82,15,39,49,22,98,45,65
"GENE_00224",332,30,23,52,39,140,241,85,71,109,130,146
"GENE_00225",27,114,47,49,231,36,65,158,21,18,169,107
"GENE_00226",39,94,60,42,19,153,107,116,153,31,19,29
"GENE_00227",39,129,96,97,176,34,35,45,54,50,208,54
"GENE_00228",3,9,6,26,39,32,24,4,24,57,26,27
"GENE_00229",252,26,11,314,130,162,161,112,176,154,259,399
"GENE_00230",83,30,4,90,156,103,148,54,119,92,40,17
"GENE_00231",10,16,56,60,71,61,34,79,34,144,87,17
"GENE_00232",149,176,57,94,100,81,65,114,46,245,50,26
"GENE_00233",45,14,52,73,23,71,123,63,20,23,51,26
"GENE_00234",27,63,165,82,48,89,57,277,115,29,163,146
"GENE_00235",147,553,140,73,82,10,202,35,32,119,4,52
"GENE_00236",174,58,68,143,300,232,166,86,279,57,113,17
"GENE_00237",89,133,72,27,78,102,98,15,31,24,101,52
"GENE_00238",100,41,86,42,47,53,32,79,329,110,57,66
"GENE_00239",64,88,273,181,11,62,130,62,126,140,89,53
"GENE_00240",187,235,231,127,57,337,57,118,472,95,272,253
"GENE_00241",57,26,25,42,51,111,55,78,20,77,13,26
"GENE_00242",176,86,24,35,43,20,72,81,29,14,27,32
"GENE_00243",118,271,117,93,114,470,181,24,105,130,122,92
"GENE_00244",11,47,10,67,25,58,15,83,8,51,12,117
"GENE_00245",12,11,50,7,9,21,35,6,58,84,25,53
"GENE_00246",15,96,47,131,36,7,14,85,59,36,176,18
"GENE_00247",94,171,182,33,39,262,107,139,154,80,177,23
"GENE_00248",55,66,116,256,29,143,129,130,63,49,37,118
"GENE_00249",160,83,24,211,100,61,75,146,264,16,449,163
"GENE_00250",41,7,32,58,26,18,23,19,3,47,42,23
"GENE_00251",165,48,115,45,55,33,39,124,197,83,36,71
"GENE_00252",17,58,35,26,17,24,42,11,46,4,10,18
"GENE_00253",47,161,57,419,284,37,65,13,102,238,75,278
"GENE_00254",68,165,92,604,14,66,92,376,95,121,117,254
"GENE_00255",51,4,12,46,18,10,55,64,23,22,25,22
"GENE_00256",116,113,88,153,25,20,30,152,298,24,43,68
"GENE_00257",21,22,20,25,122,18,163,16,45,28,43,247
"GENE_00258",71,207,480,490,292,8,95,137,149,148,48,430
"GENE_00259",18,81,62,57,160,159,172,152,92,167,234,87
"GENE_00260",95,36,121,239,252,172,4,128,171,73,294,37
"GENE_00261",73,219,52,86,59,118,52,136,76,73,108,105
"GENE_00262",211,169,225,343,157,257,103,97,50,81,142,181
"GENE_00263",49,66,22,26,84,36,60,12,33,19,33,27
"GENE_00264",30,121,69,138,14,66,108,250,54,18,112,72
"GENE_00265",10,54,16,42,12,10,8,6,21,21,25,16
"GENE_00266",5,0,0,2,1,0,0,2,0,0,2,1
"GENE_00267",124,27,114,16,30,28,7,25,45,48,48,69
"GENE_00268",81,216,107,127,83,89,26,10,14,60,8,34
"GENE_00269",93,90,110,411,27,154,38,111,184,28,163,36
"GENE_00270",91,378,603,239,273,226,297,256,133,1,380,361
"GENE_00271",18,82,34,89,112,103,59,19,67,66,7,58
"GENE_00272",63,74,174,116,188,79,234,14,163,87,206,165
"GENE_00273",58,75,45,20,107,61,71,23,44,36,26,9
"GENE_00274",115,38,41,42,54,19,45,74,160,14,108,48
"GENE_00275",135,87,44,27,27,43,39,45,46,53,32,124
"GENE_00276",434,107,118,134,521,28,147,106,79,43,149,178
"GENE_00277",58,34,39,18,46,18,52,11,126,20,64,28
"GENE_00278",104,82,14,48,33,54,81,111,62,110,101,38
"GENE_00279",2,3,1,3,0,2,7,1,6,4,1,6
"GENE_00280",80,100,170,152,64,146,53,354,39,144,277,41
"GENE_00281",39,22,32,69,48,23,108,27,97,45,43,35
"GENE_00282",150,106,47,105,90,127,117,44,335,90,15,47
"GENE_00283",14,85,74,17,61,36,17,64,92,81,15,51
"GENE_00284",84,26,26,39,45,13,25,6,42,33,154,134
"GENE_00285",101,48,64,463,90,72,207,136,51,104,84,137
"GENE_00286",81,97,78,64,208,58,23,27,99,74,23,74
"GENE_00287",163,169,104,133,22,16,77,11,168,96,130,94
"GENE_00288",25,22,62,29,10,39,22,21,32,47,7,0
"GENE_00289",3,143,32,29,21,90,147,83,20,7,24,95
"GENE_00290",10,198,87,195,21,90,60,216,20,61,48,82
"GENE_00291",17,452,490,233,478,262,207,352,227,329,101,205
"GENE_00292",3,13,88,9,50,81,81,68,128,78,68,27
"GENE_00293",48,64,13,133,131,25,17,43,29,23,74,73
"GENE_00294",181,134,118,52,225,152,77,249,211,91,24,50
"GENE_00295",255,94,51,129,44,302,20,137,33,268,122,212
"GENE_00296",11,22,6,4,13,13,15,0,16,15,36,33
"GENE_00297",19,264,314,191,286,453,162,356,416,159,84,253
"GENE_00298",32,22,24,31,5,40,11,14,8,17,11,7
"GENE_00299",39,66,64,38,43,70,173,68,95,87,81,53
"GENE_00300",542,140,173,211,154,279,487,187,96,55,67,92
"GENE_00301",19,111,7,40,40,113,104,116,25,9,31,57
"GENE_00302",20,4,21,28,57,142,69,3,55,25,81,44
"GENE_00303",104,193,115,414,160,169,135,51,147,160,227,74
"GENE_00304",106,388,187,31,34,82,162,326,147,83,323,252
"GENE_00305",50,177,162,76,138,38,33,45,14,108,38,44
"GENE_00306",24,132,130,230,100,117,250,188,169,57,103,60
"GENE_00307",56,19,7,128,45,53,44,48,20,165,152,34
"GENE_00308",87,104,45,80,3,7,46,144,57,102,10,22
"GENE_00309",11,22,3,2,18,59,22,18,35,8,11,11
"GENE_00310",447,177,114,309,435,247,74,18,199,159,105,88
"GENE_00311",2,4,6,0,6,11,4,6,2,8,12,1
"GENE_00312",56,57,4,76,19,45,20,58,67,85,61,176
"GENE_00313",393,918,152,561,197,150,611,246,419,94,267,354
"GENE_00314",218,264,400,186,30,245,323,725,54,165,189,325
"GENE_00315",74,110,82,211,43,362,121,139,56,92,68,93
"GENE_00316",160,221,384,111,100,499,89,145,187,334,75,385
"GENE_00317",73,92,85,111,102,153,69,40,92,179,73,87
"GENE_00318",353,259,77,102,124,324,170,788,330,239,886,140
"GENE_00319",53,94,33,34,23,339,23,40,96,163,144,132
"GENE_00320",59,27,229,143,47,112,104,50,41,15,59,88
"GENE_00321",35,8,16,22,11,23,36,44,22,35,8,7
"GENE_00322",13,6,10,4,16,12,0,14,18,32,4,16
"GENE_00323",49,68,60,89,23,9,75,28,6,116,27,61
"GENE_00324",36,68,51,107,47,50,21,76,63,46,73,36
"GENE_00325",20,35,10,47,12,18,55,16,45,18,27,20
"GENE_00326",12,3,10,5,6,1,10,4,7,5,2,24
"GENE_00327",57,130,131,21,103,18,115,8,45,85,92,72
"GENE_00328",166,131,346,103,56,221,270,73,41,61,91,110
"GENE_00329",31,126,36,60,90,221,62,53,119,48,30,175
"GENE_00330",11,9,7,18,20,2,37,23,34,13,21,13
"GENE_00331",87,114,296,206,275,125,76,302,122,207,208,256
"GENE_00332",40,17,44,64,185,142,158,50,85,75,33,29
"GENE_00333",138,90,153,59,83,82,147,250,115,212,134,315
"GENE_00334",107,54,16,92,58,72,93,7,116,49,14,62
"GENE_00335",136,163,914,857,1025,224,721,307,157,95,213,66
"GENE_00336",173,172,107,165,76,85,64,111,82,116,35,47
"GENE_00337",2,27,1,16,20,7,5,20,31,11,22,39
"GENE_00338",117,60,74,60,30,105,110,254,64,37,27,88
"GENE_00339",45,68,83,12,86,16,31,2,15,23,18,80
"GENE_00340",260,113,283,72,40,134,236,47,235,101,94,270
"GENE_00341",120,121,69,88,11,35,30,57,59,40,80,35
"GENE_00342",43,41,13,30,92,78,74,58,94,41,21,25
"GENE_00343",57,38,36,35,35,30,66,128,40,23,3,36
"GENE_00344",21,125,124,32,260,49,110,175,3,184,178,177
"GENE_00345",15,37,12,97,82,97,23,35,47,58,24,53
"GENE_00346",44,57,246,102,115,72,79,113,91,148,330,109
"GENE_00347",8,18,8,18,4,3,1,10,17,6,12,1
"GENE_00348",159,35,43,91,223,89,57,68,31,179,55,132
"GENE_00349",26,40,27,57,3,6,53,15,17,38,24,26
"GENE_00350",95,22,30,42,65,108,52,36,43,101,29,89
"GENE_00351",143,7,78,135,211,52,140,226,42,42,50,7
"GENE_00352",93,124,98,145,232,118,152,79,47,16,117,85
"GENE_00353",20,116,85,183,167,152,172,26,162,89,89,146
"GENE_00354",473,148,186,290,352,402,267,404,86,278,550,677
"GENE_00355",74,135,189,20,210,325,179,149,57,337,134,89
"GENE_00356",15,26,9,8,42,24,5,7,12,10,73,28
"GENE_00357",5,4,2,6,0,2,4,14,8,1,7,8
"GENE_00358",148,40,32,87,166,64,192,314,303,136,128,184
"GENE_00359",90,68,75,127,42,42,137,173,215,106,23,177
"GENE_00360",244,75,93,41,122,97,17,25,163,61,58,65
"GENE_00361",43,6,18,38,7,16,4,25,21,17,7,7
"GENE_00362",24,58,88,8,98,76,127,31,81,55,92,73
"GENE_00363",9,63,4,14,20,148,24,32,21,9,4,45
"GENE_00364",19,9,30,4,31,50,18,15,30,16,40,9
"GENE_00365",105,22,27,57,116,91,76,37,13,37,46,88
"GENE_00366",98,61,242,102,186,40,59,93,108,88,64,107
"GENE_00367",244,74,329,66,30,108,217,124,299,175,218,31
"GENE_00368",18,57,49,148,41,87,20,71,149,13,29,84
"GENE_00369",44,29,112,140,49,100,92,137,93,168,98,125
"GENE_00370",13,60,54,30,60,90,71,48,103,73,101,229
"GENE_00371",106,43,250,77,79,84,142,156,57,146,57,20
"GENE_00372",76,49,161,105,23,78,23,72,62,20,134,94
"GENE_00373",17,83,237,158,120,101,45,67,258,245,484,72
"GENE_00374",70,31,32,174,19,112,139,34,94,134,61,51
"GENE_00375",201,198,204,271,373,69,281,202,122,184,112,217
"GENE_00376",65,153,94,129,117,49,29,174,54,77,73,30
"GENE_00377",12,144,435,56,66,172,95,163,146,209,325,266
"GENE_00378",127,36,104,67,186,89,71,47,158,50,220,103
"GENE_00379",20,39,76,5,38,63,57,21,101,97,58,51
"GENE_00380",144,413,156,122,186,205,98,114,279,86,173,106
"GENE_00381",10,30,51,3,11,7,2,30,22,2,7,10
"GENE_00382",48,29,25,62,18,88,100,65,61,65,140,17
"GENE_00383",3,4,2,3,9,4,15,8,2,7,2,3
"GENE_00384",98,79,70,87,82,12,91,175,204,26,50,48
"GENE_00385",28,52,74,40,25,106,46,49,30,59,96,78
"GENE_00386",35,55,28,25,47,28,62,52,27,26,32,46
"GENE_00387",19,15,48,13,36,21,28,30,25,11,13,17
"GENE_00388",92,164,109,236,96,119,128,98,74,307,255,63
"GENE_00389",66,5,24,18,93,24,11,50,1,49,86,20
"GENE_00390",80,72,87,92,42,77,79,108,102,65,12,86
"GENE_00391",146,144,127,226,35,125,175,99,29,267,16,89
"GENE_00392",19,24,97,168,191,151,96,495,67,692,27,591
"GENE_00393",17,26,57,33,100,51,74,46,39,9,21,14
"GENE_00394",17,211,171,15,36,102,126,167,114,55,55,164
"GENE_00395",19,1,10,10,60,40,13,27,35,25,32,34
"GENE_00396",5,36,14,39,16,15,6,3,11,58,15,36
"GENE_00397",34,57,22,67,65,86,55,83,78,30,59,26
"GENE_00398",55,49,106,88,56,40,17,20,75,102,78,18
"GENE_00399",0,5,1,3,3,5,8,4,0,5,3,3
"GENE_00400",75,197,68,415,207,122,271,159,52,100,92,474
"GENE_00401",98,109,44,84,40,166,117,15,94,97,99,36
"GENE_00402",7,62,16,38,43,56,31,62,9,27,23,67
"GENE_00403",9,79,79,70,185,356,235,169,196,259,202,109
"GENE_00404",107,140,64,92,54,63,109,30,84,151,30,40
"GENE_00405",144,50,6,54,27,14,114,33,74,199,19,73
"GENE_00406",22,1,2,26,7,16,6,2,6,2,6,0
"GENE_00407",62,51,70,64,90,46,29,63,76,42,45,55
"GENE_00408",50,89,107,5,4,27,44,38,80,22,42,109
"GENE_00409",56,158,32,68,125,110,92,83,22,98,103,53
"GENE_00410",70,54,145,8,26,25,60,13,76,67,93,66
"GENE_00411",215,95,162,76,264,168,193,204,26,203,486,260
"GENE_00412",131,101,262,81,174,65,67,236,67,56,6,113
"GENE_00413",122,62,108,57,44,449,183,52,40,42,126,150
"GENE_00414",50,33,134,27,78,31,50,68,65,58,54,76
"GENE_00415",131,62,92,85,97,97,65,111,133,114,12,116
"GENE_00416",52,41,42,43,78,6,52,52,81,74,31,36
"GENE_00417",14,14,18,31,11,9,62,57,13,4,56,8
"GENE_00418",4,39,43,26,14,2,55,53,23,53,35,5
"GENE_00419",15,38,57,1,39,14,21,18,21,24,18,34
"GENE_00420",5,8,10,13,15,15,39,9,2,12,31,26
"GENE_00421",22,40,180,42,207,84,38,63,27,20,27,110
"GENE_00422",54,14,32,28,16,28,39,26,9,78,43,30
"GENE_00423",33,22,14,74,71,95,17,33,21,7,16,49
"GENE_00424",161,18,199,123,275,71,64,105,53,126,458,147
"GENE_00425",11,180,288,77,149,79,16,34,167,102,134,70
"GENE_00426",4,41,14,20,26,25,39,45,4,0,13,15
"GENE_00427",86,97,341,108,196,180,62,409,160,529,507,468
"GENE_00428",288,136,103,232,347,82,328,201,52,88,166,119
"GENE_00429",322,116,82,47,115,88,304,43,236,125,441,329
"GENE_00430",184,163,148,349,348,79,62,117,112,106,75,548
"GENE_00431",87,238,113,158,198,154,11,285,244,103,132,136
"GENE_00432",15,17,43,29,11,70,60,11,27,38,16,30
