"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","direction"
"TUBB6",287.664183058104,3.46957754332954,0.624430712409041,5.55638515912194,2.7541878012969e-08,8.97599098411055e-06,"Significant","Upregulated"
"CEP135",495.116377337404,3.11070871628906,0.560884248661588,5.54607964782751,2.92145784903349e-08,8.97599098411055e-06,"Significant","Upregulated"
"TPD52L1",530.104551658229,2.92736480224217,0.526693868716353,5.55800053145991,2.72882554844812e-08,8.97599098411055e-06,"Significant","Upregulated"
"RBMS1",263.298356785319,3.80950144569897,0.691434056652907,5.50956582054982,3.59719868532846e-08,1.05811330881274e-05,"Significant","Upregulated"
"WNT3A",439.911230654566,3.3006331348761,0.601130997554292,5.4907052677449,4.00331921555758e-08,1.14344079855375e-05,"Significant","Upregulated"
"PPP1CB",35.5787817191509,3.14586108732358,0.572869437785286,5.49141022339311,3.98736996208571e-08,1.14344079855375e-05,"Significant","Upregulated"
"XRCC3",255.464520627006,2.77431592603994,0.505860786647261,5.48434668049192,4.15000224555882e-08,1.1684034893639e-05,"Significant","Upregulated"
"SYF2",292.222366934335,2.93268500655334,0.536342935850705,5.4679288390398,4.55324598338301e-08,1.22925166904812e-05,"Significant","Upregulated"
"RB1",194.015339180565,3.00472547022884,0.555235902505411,5.41161955966916,6.24572717951696e-08,1.59858170459637e-05,"Significant","Upregulated"
"CDKN2D",158.227760634703,2.47032233255984,0.460474423471206,5.3647329941536,8.10690516155933e-08,1.94842545029282e-05,"Significant","Upregulated"
"CNTROB",232.438924745749,3.15568278825703,0.589626888189274,5.35199946180886,8.69876576719021e-08,2.06548524987692e-05,"Significant","Upregulated"
"CENPN",596.759485349844,2.80561385666855,0.529433104248594,5.29927923689331,1.16260713357814e-07,2.6642629521579e-05,"Significant","Upregulated"
"HCRT",483.953483642994,2.91251691777023,0.550915422936341,5.28668611644001,1.24552086322204e-07,2.78940058777045e-05,"Significant","Upregulated"
"POLD2",777.533272523292,3.37285913954217,0.638915014367202,5.27904191276946,1.29861101179225e-07,2.87562087869681e-05,"Significant","Upregulated"
"PAF1",63.560676860247,3.74303632576116,0.715608226859247,5.23056637035752,1.68991489604713e-07,3.65987283201065e-05,"Significant","Upregulated"
"IHO1",381.481058241242,3.65216072473458,0.702511269371925,5.19872190520128,2.00663472190888e-07,4.25233947305164e-05,"Significant","Upregulated"
"GIT1",127.052648811142,2.82114901888246,0.54381021095385,5.18774558119115,2.12855128433779e-07,4.46271156507757e-05,"Significant","Upregulated"
"STAG3",279.747351153001,3.00330679967069,0.581830477557167,5.16182447554169,2.44554544185313e-07,5.07334837558332e-05,"Significant","Upregulated"
"CCNJ",429.959422723492,2.81967464443165,0.54707932022809,5.15405086643755,2.54918745765676e-07,5.23326941828119e-05,"Significant","Upregulated"
"CCNJL",106.651083004441,2.77693296852753,0.541632535694767,5.12696853590134,2.94444701513592e-07,5.86153149235341e-05,"Significant","Upregulated"
"KIFC1",124.427694833663,2.83992135684748,0.55464760702902,5.12022646606117,3.05168960066169e-07,6.01426986498406e-05,"Significant","Upregulated"
"LOC127815980",134.339721776366,2.1979741545875,0.429689230451523,5.11526470486086,3.13301276977819e-07,6.05347212419497e-05,"Significant","Upregulated"
"SUPT16H",616.072367677709,3.02581090306167,0.592470567118758,5.10710754422195,3.27127585721217e-07,6.25925287319781e-05,"Significant","Upregulated"
"VEGFA",957.416345047742,2.97462870291556,0.587475941111408,5.06340514521846,4.1183333749866e-07,7.8042417455996e-05,"Significant","Upregulated"
"RAD54L",638.783502669498,2.94531329148029,0.591787280586212,4.97697971568893,6.45840867446542e-07,0.000114524092495266,"Significant","Upregulated"
"USP39",47.5933819476698,2.81507102211146,0.566130721450793,4.97247528785831,6.61033996639572e-07,0.000114524092495266,"Significant","Upregulated"
"CEBPA",143.361249201055,3.20381126012141,0.647742726218933,4.94611692333932,7.57084953201565e-07,0.000128626122911176,"Significant","Upregulated"
"SMIM22",285.818092596754,3.26206045855193,0.666716925583916,4.89272183347527,9.94509209331765e-07,0.000159347865833418,"Significant","Upregulated"
"C14orf39",360.883509336935,2.90570591216323,0.59822307155488,4.85722809822568,1.19040436400401e-06,0.000184728261462922,"Significant","Upregulated"
"ZBED3",81.789390593591,2.93429121407313,0.608435246243167,4.82268447166917,1.41638933451323e-06,0.000211471219731717,"Significant","Upregulated"
"RPS6KA2",304.671324016352,2.46414244372904,0.511755345293038,4.81507905367953,1.47141627686673e-06,0.000218035127702929,"Significant","Upregulated"
"CEP164",419.722730432924,2.80944651998975,0.584801070189198,4.80410632470426,1.55444215344176e-06,0.000228618999701718,"Significant","Upregulated"
"PRKCB",92.3625373334087,2.39264823327961,0.507533432991061,4.71426723394151,2.42582127425583e-06,0.000348964129000247,"Significant","Upregulated"
"IER3",284.259557628563,2.90168082162371,0.618488737696166,4.69156614303487,2.71121590369757e-06,0.000384407503813465,"Significant","Upregulated"
"OIP5",234.17957010351,3.0139818886119,0.6551702868192,4.60030308035571,4.21876670197728e-06,0.000546996408964264,"Significant","Upregulated"
"HSF2BP",114.651757536218,2.24754266958846,0.489467573363713,4.59181116767945,4.39415868763644e-06,0.000566013590953849,"Significant","Upregulated"
"CCNI",385.164294152515,2.66006902780779,0.583861839563234,4.55599055728268,5.21392786747412e-06,0.000654497391160382,"Significant","Upregulated"
"DLL1",212.721778660328,2.59086647693061,0.570415600437031,4.54206805519622,5.57050508896503e-06,0.000694832368945081,"Significant","Upregulated"
"CDK10",305.286483791823,2.14446112552621,0.472308808774033,4.54037927239292,5.61531249278229e-06,0.000696016217658826,"Significant","Upregulated"
"NUDC",153.034621517922,2.23013483188164,0.493489463380812,4.5191133699256,6.20991377321555e-06,0.00075546284347242,"Significant","Upregulated"
"DNM2",106.224063888415,2.70764565464097,0.600157315369989,4.51155986155354,6.43526158986152e-06,0.000773330093981652,"Significant","Upregulated"
"VEGFB",912.273962795281,2.38394197943942,0.53312498823264,4.47163804372107,7.76227281602191e-06,0.000894613290398595,"Significant","Upregulated"
"HORMAD2",472.165960986852,2.79800976282891,0.626396685463387,4.46683360203134,7.93858282776361e-06,0.000907303810144847,"Significant","Upregulated"
"MCRS1",77.6103394053538,2.20814503928286,0.496779550985443,4.4449193508522,8.792484479895e-06,0.000990184480741547,"Significant","Upregulated"
"CREB3",87.4574623038167,2.39665089159846,0.54859111504466,4.36873807444613,1.24966536658106e-05,0.00137588854997651,"Significant","Upregulated"
"CDK20",380.451836450627,2.31013466726073,0.53154378957965,4.34608533209955,1.38588672514727e-05,0.00149251669831707,"Significant","Upregulated"
"SLF2",43.4801013555466,2.41008647028845,0.559515054939706,4.3074559817665,1.65142946450664e-05,0.00174044769446507,"Significant","Upregulated"
"FBXW11",315.076183780228,2.60770304157975,0.608115532872463,4.28817042258752,1.80150853225079e-05,0.0018785254049523,"Significant","Upregulated"
"KNTC1",234.466037648387,2.35326409846722,0.554428342388724,4.24448737293679,2.19093703747133e-05,0.00223725321940337,"Significant","Upregulated"
"PRCC",582.359993321978,2.47762869956798,0.590689241020567,4.19447067511716,2.73509531128403e-05,0.00272238678761544,"Significant","Upregulated"
"CCNY",151.326026242219,2.69176694198502,0.642094538296101,4.19216607748767,2.76303601043477e-05,0.00273637757254515,"Significant","Upregulated"
"ZNRF4",124.549403444539,2.86025597834951,0.687573045732571,4.15993034645805,3.18344663904664e-05,0.00310590922585798,"Significant","Upregulated"
"ATM",682.571249432354,2.26025928125422,0.543259948028675,4.16054835158752,3.17484390444356e-05,0.00310590922585798,"Significant","Upregulated"
"CCNL2",205.216244567545,2.47754180784308,0.596974127594924,4.15016613504599,3.32234043517931e-05,0.00316312489355139,"Significant","Upregulated"
"RAB35",316.883579360716,2.39908008987532,0.578399256905412,4.14779248284486,3.35696464169847e-05,0.0031807239980093,"Significant","Upregulated"
"PIM3",89.9178802258401,2.45433241262553,0.592560435309152,4.14191070881243,3.44424439209628e-05,0.00324780710427911,"Significant","Upregulated"
"BCL7A",159.157747893021,2.07575519822244,0.502566099471863,4.13031280940718,3.62269969042749e-05,0.00338370452601635,"Significant","Upregulated"
"LOC129664758",104.776316245361,1.57384928728643,0.381992690385293,4.12010315092412,3.78702818173204e-05,0.00350397893922888,"Significant","Upregulated"
"ZNF365",116.220019275398,2.82604008322694,0.688205235698744,4.106391431849,4.01888222430217e-05,0.00368391306402545,"Significant","Upregulated"
"WDR76",209.590082420813,2.8245402194426,0.689863726285024,4.09434517546385,4.23363200640031e-05,0.00380988217270034,"Significant","Upregulated"
"IGF2",747.912189581418,2.47760807023178,0.607938806545142,4.0754234530804,4.59306895260765e-05,0.00411073340393544,"Significant","Upregulated"
"HECW2",38.4146806315561,2.11023518479802,0.520516948280785,4.05411426422888,5.03246150749596e-05,0.00442766747275582,"Significant","Upregulated"
"MIR29A",224.579920062372,1.92884727982732,0.478152852349349,4.03395539804929,5.484573274487e-05,0.00474078816199955,"Significant","Upregulated"
"CPAP",214.342597169395,2.59892069962714,0.645982651155663,4.02320510462266,5.74114572303818e-05,0.00494089519256054,"Significant","Upregulated"
"ORC2",113.255452396029,2.35912205789256,0.587218903898403,4.01744910157171,5.88315371758147e-05,0.00501927244441972,"Significant","Upregulated"
"PARP3",136.764658015253,2.32131035913121,0.579184606643567,4.00789373975844,6.12626712738851e-05,0.00513772223602437,"Significant","Upregulated"
"CLSPN",78.0349724446259,1.98393910072291,0.495646844824846,4.00272718657979,6.26164916083186e-05,0.00520694437391031,"Significant","Upregulated"
"PRPF40A",395.535946927992,2.78027526214763,0.696409821505208,3.99229760450304,6.54361770764093e-05,0.00539588358921287,"Significant","Upregulated"
"CDK17",110.199780075626,2.31558320022496,0.585057139665064,3.95787529667717,7.56194169350613e-05,0.00615829532626524,"Significant","Upregulated"
"MBLAC1",100.874944899509,2.37836029625782,0.601818500000431,3.95195610679319,7.75149607905468e-05,0.00628668661423908,"Significant","Upregulated"
"GPER1",156.296366656622,2.34614934587939,0.59579508901899,3.9378460633881,8.22163088114789e-05,0.00656679459840738,"Significant","Upregulated"
"PPP1R12A",113.721679236427,2.18276342989048,0.554468548412518,3.93667672610084,8.26177831243589e-05,0.00656679459840738,"Significant","Upregulated"
"MIR892B",76.0047408207307,2.17124980737165,0.551159679720468,3.93942062030526,8.16786208933531e-05,0.00656679459840738,"Significant","Upregulated"
"LOC127272361",73.8200424482556,1.98925052368457,0.506053457927887,3.93090985254771,8.46250002552707e-05,0.00665931936977497,"Significant","Upregulated"
"TICRR",614.579710510077,2.6414827680811,0.676927655460415,3.90216405959139,9.5336502262827e-05,0.00731086298286301,"Significant","Upregulated"
"MTMR4",161.492960020274,2.30497818941654,0.591167311459885,3.89902848945488,9.65794119097232e-05,0.00737746918572412,"Significant","Upregulated"
"SMYD5",17.4999901417703,2.4273235928633,0.627178404448943,3.87022827260134,0.000108733491896771,0.00824199868577522,"Significant","Upregulated"
"TOM1L2",229.62442031279,2.59204031110552,0.670613635423141,3.865176868153,0.000111008727239259,0.00835022899401264,"Significant","Upregulated"
"FGF10",244.795097436542,2.37567743794911,0.614577964661676,3.8655428188951,0.00011084239963152,0.00835022899401264,"Significant","Upregulated"
"GDA",29.4628137946496,1.82025086696914,0.471589278547115,3.85982241279322,0.000113469456637149,0.00850287472017082,"Significant","Upregulated"
"PRKAG1",75.3762258237046,2.81251912113381,0.729569260458323,3.8550406021314,0.00011571042372203,0.00860536238005193,"Significant","Upregulated"
"NAA10",391.83375063713,2.10113063679936,0.547788865029618,3.83565780711106,0.000125228666916106,0.00920897972978588,"Significant","Upregulated"
"MCM6",372.037040050966,2.47429366123596,0.645353018011426,3.83401579008678,0.000126068043528422,0.00923624164259531,"Significant","Upregulated"
"BCAS2",165.361790080164,2.399474347351,0.627072488141129,3.82647045234581,0.000129993744891027,0.00938431034546653,"Significant","Upregulated"
"GEM",264.739507280014,2.6259672385615,0.690332753273932,3.80391517874205,0.000142426966359146,0.0102443454489272,"Significant","Upregulated"
"LOC129995302",65.8473754332876,2.13318912511578,0.561982953239356,3.79582532320554,0.000147153085956182,0.0105457927928161,"Significant","Upregulated"
"POLG2",394.826528458692,2.22456233667518,0.59684290724664,3.72721583797913,0.000193606651404801,0.0134352108657952,"Significant","Upregulated"
"MCIDAS",140.654336057516,2.18662242226482,0.58977760841664,3.70753719886922,0.000209284681879469,0.0144216171695125,"Significant","Upregulated"
"LOC130067968",100.620717645489,1.50036922774298,0.405861219124583,3.69675435110352,0.000218373460300194,0.0149434172069314,"Significant","Upregulated"
"BMP7",244.061206606213,2.5127979938209,0.682022762160479,3.68433156961063,0.000229303592613053,0.0155296055093404,"Significant","Upregulated"
"DEL18Q",51.8782828195825,1.54170110707489,0.423242675508357,3.64259370873495,0.000269904672293547,0.0179705448701393,"Significant","Upregulated"
"SPC24",248.331155705487,2.00781177458008,0.553186040858788,3.62954164834506,0.000283924920636742,0.0187206375264345,"Significant","Upregulated"
"FOXM1",56.0152059205695,1.91876475753586,0.53084470973396,3.61455002254327,0.000300869723338711,0.0195050674590767,"Significant","Upregulated"
"HNRNPU",96.7800312612022,2.15897107700759,0.601253662903065,3.59078241051092,0.000329686788253034,0.0209595716867445,"Significant","Upregulated"
"RNU6-1248P",222.752158168202,1.71472799661984,0.478741250062519,3.58174273972823,0.000341309806207429,0.0214905228777508,"Significant","Upregulated"
"CEP295",179.198189400099,2.14257841839891,0.59841145725805,3.58044350991592,0.000343011497118811,0.0214937666850536,"Significant","Upregulated"
"LOC127458469",71.0149173916758,1.68911360811277,0.472260204062467,3.5766587859462,0.000348013957012815,0.021704617293698,"Significant","Upregulated"
"PIK3R4",248.068362380768,2.49266824572618,0.697428160501008,3.57408603050317,0.000351453369708227,0.0218499779501884,"Significant","Upregulated"
"GRK5",199.184101053507,1.76041819711632,0.493055986807891,3.5704225163424,0.000356405872415906,0.022028293733441,"Significant","Upregulated"
"H2AZP5",53.8682262960477,2.38042424752107,0.666927555408046,3.56923960963745,0.000358018866966443,0.0220494869692958,"Significant","Upregulated"
"LOC129931425",149.632832967157,1.60948936453785,0.451100508389865,3.56791742550386,0.000359829856643783,0.0220919838465286,"Significant","Upregulated"
"LOC127825050",91.9190654977581,1.7326129041892,0.489586323799109,3.53893240061203,0.00040174871833691,0.0242130389632533,"Significant","Upregulated"
"CABLES2",106.171146835429,2.16406438995316,0.612277502405494,3.53445028022598,0.000408624305019412,0.0245523408637883,"Significant","Upregulated"
"CROCC",208.202741735648,2.36049251111386,0.669672627001152,3.52484544826676,0.000423729930887745,0.0253056650846536,"Significant","Upregulated"
"MAGEA5P",160.948805375236,1.7137364664137,0.487708068677709,3.51385711345732,0.000441650312925491,0.0262170011058301,"Significant","Upregulated"
"LOC127405476",126.128988130262,2.0455036614576,0.583148615213795,3.50768844869445,0.000452018078505708,0.0266717733269177,"Significant","Upregulated"
"ZNF503",305.704718212132,1.88657018108318,0.538932531107618,3.50056838692942,0.000464267101357938,0.0272054452898842,"Significant","Upregulated"
"CHMP4C",392.496359047467,2.4235837375668,0.694493774409142,3.48971268983473,0.000483540104724201,0.0278643519997209,"Significant","Upregulated"
"MDC1",698.421781452248,2.30885065783129,0.66158816706069,3.48986087234462,0.000483272073699719,0.0278643519997209,"Significant","Upregulated"
"ZNF705D",53.5974836688042,1.7472026981524,0.501258048015919,3.48563520340109,0.000490970043432386,0.028210022203981,"Significant","Upregulated"
"PRELID1P6",284.979595725651,2.17393253693391,0.62385525045492,3.48467458653054,0.000492735893866255,0.028229183128826,"Significant","Upregulated"
"LOC127271549",72.3208232934087,1.6584215019006,0.477231108934967,3.47509093780933,0.00051068019915022,0.0290881079909033,"Significant","Upregulated"
"RNU5A-7P",75.794060408208,1.9557652618902,0.567951083221802,3.44354526237678,0.000574140481773336,0.0320661247492286,"Significant","Upregulated"
"LOC126805618",73.9949092102975,1.72832028961593,0.501833910202009,3.44400857431139,0.000573157525295921,0.0320661247492286,"Significant","Upregulated"
"CUL7",53.2332007515682,1.91150043252777,0.558219274446484,3.42428239229677,0.000616425299071797,0.0341250275115364,"Significant","Upregulated"
"UPF1",283.097480596886,1.76604403646649,0.518368085577534,3.40693049129148,0.000656978556958636,0.0362681607858286,"Significant","Upregulated"
"LOC124909302",182.58226842841,1.93235427243787,0.567924594679019,3.40248386941228,0.000667762969843431,0.0366581409740232,"Significant","Upregulated"
"CHMP2B",377.424049920521,2.05831653734886,0.606172339874859,3.39559627180248,0.000684792866597446,0.0374886050413957,"Significant","Upregulated"
"LOC129929265",245.477354167484,1.50555168967372,0.443662882080688,3.39345875096197,0.000690159517729015,0.037573656838131,"Significant","Upregulated"
"ELOCP10",204.645890860382,1.36404728797775,0.402581497721299,3.38825131233939,0.000703397828706361,0.0379396226230595,"Significant","Upregulated"
"UBE2B",72.6249952215652,2.05147476598129,0.605349009570841,3.38891240184843,0.000701704231853816,0.0379396226230595,"Significant","Upregulated"
"CEP85",345.862478915219,2.15518656159104,0.636162982070602,3.38778995686967,0.000704581991071634,0.0379396226230595,"Significant","Upregulated"
"SIX3",318.610541450713,2.39167482713284,0.714133433638985,3.34905875355208,0.000810865987641901,0.043190667255261,"Significant","Upregulated"
"GLA",223.017336814538,1.65804319746169,0.497618664531159,3.33195540208253,0.000862380749914269,0.0453163285670626,"Significant","Upregulated"
"LOC105375594",39.2392500975304,2.23669514489253,0.671428218892418,3.33124983722334,0.000864569694601965,0.0453163285670626,"Significant","Upregulated"
"TRAPPC4",283.34089297329,2.07730357884333,0.623346607241287,3.33250162062603,0.000860689691682701,0.0453163285670626,"Significant","Upregulated"
"RNA5SP301",176.406223441348,1.7409680541301,0.527655496100868,3.2994407657933,0.000968776702489296,0.0497204459704663,"Significant","Upregulated"
