"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007017","microtubule-based process","33/132","99/1933",0.333333333333333,4.88131313131313,10.7307551008746,3.44181654348035e-16,1.69204142331098e-14,1.04949108864019e-14,"ARL8A/MAP10/TERF2/KIAA1614/PKHD1/TNKS/CENATAC/TUBB6/CEP135/WNT3A/XRCC3/CNTROB/GIT1/KIFC1/ZBED3/NUDC/DNM2/FBXW11/CCNL2/CPAP/PARP3/PPP1R12A/FGF10/BCAS2/MCIDAS/HNRNPU/CEP295/CROCC/CHMP4C/CUL7/CHMP2B/UBE2B/CEP85",33
"GO:0050000","chromosome localization","12/132","15/1933",0.8,11.7151515151515,11.2759545010483,2.42014923524047e-12,7.37661486901297e-11,4.57535581735989e-11,"SEH1L/RB1/KIFC1/NUDC/KNTC1/ATM/GEM/SPC24/HNRNPU/CHMP4C/CHMP2B/UBE2B",12
"GO:0051302","regulation of cell division","13/132","19/1933",0.684210526315789,10.0195374800638,10.6935959749095,7.54802797776047e-12,2.17041408266169e-10,1.34620240795013e-10,"TGFB2/MAP10/ZNF16/KDF1/GIT1/VEGFA/DLL1/VEGFB/IGF2/PRPF40A/SMYD5/PIK3R4/CHMP4C",13
"GO:0051310","metaphase chromosome alignment","10/132","11/1933",0.909090909090909,13.3126721763085,11.0842327773934,1.64968529130495e-11,4.65577848879398e-10,2.88775319998411e-10,"SEH1L/RB1/KIFC1/NUDC/KNTC1/GEM/SPC24/HNRNPU/CHMP4C/CHMP2B",10
"GO:0016310","phosphorylation","22/132","71/1933",0.309859154929577,4.53755868544601,8.22009164514807,3.02560523064711e-10,8.08951293246701e-09,5.01753185063916e-09,"ZNF16/TNKS/TAOK3/TPD52L1/RB1/VEGFA/ZBED3/PRKCB/CDK10/VEGFB/CCNY/ATM/PIM3/CLSPN/CDK17/GPER1/FGF10/PRKAG1/HNRNPU/PIK3R4/GRK5/CEP85",22
"GO:0051983","regulation of chromosome segregation","10/132","13/1933",0.769230769230769,11.2645687645688,10.0506798765888,3.80871833937707e-10,9.67414458201776e-09,6.00040187501861e-09,"XRCC3/RB1/IHO1/KNTC1/ATM/BCL7A/HECW2/SPC24/HNRNPU/MAGEA5P",10
"GO:0009893","positive regulation of metabolic process","53/132","349/1933",0.151862464183381,2.22386472171572,6.83600247641136,5.01093207558157e-10,1.25191155462071e-08,7.76499914386929e-09,"ANXA1/ZFP36L1/ATR/TGFB2/ZNF16/TERF2/TNKS/PNKP/CUL1/TAOK3/TPD52L1/WNT3A/RB1/HCRT/PAF1/GIT1/SUPT16H/VEGFA/CEBPA/ZBED3/RPS6KA2/PRKCB/IER3/DLL1/DNM2/VEGFB/MCRS1/CREB3/SLF2/FBXW11/CCNY/ATM/BCL7A/IGF2/MIR29A/CPAP/PARP3/CLSPN/GPER1/PPP1R12A/SMYD5/FGF10/PRKAG1/POLG2/MCIDAS/BMP7/FOXM1/HNRNPU/CEP295/MDC1/UPF1/UBE2B/SIX3",53
"GO:0036211","protein modification process","38/132","202/1933",0.188118811881188,2.754800480048,7.13326840400958,7.74384649807172e-10,1.84400344735333e-08,1.14374574922178e-08,"ANXA1/KDF1/TNKS/ASCC3/CUL1/TAOK3/TPD52L1/PPP1CB/RB1/VEGFA/USP39/ZBED3/PRKCB/CDK10/VEGFB/MCRS1/SLF2/FBXW11/CCNY/ZNRF4/ATM/PIM3/HECW2/PARP3/CLSPN/CDK17/GPER1/PPP1R12A/FGF10/PRKAG1/NAA10/CEP295/PIK3R4/GRK5/MDC1/CUL7/UBE2B/CEP85",38
"GO:0080135","regulation of cellular response to stress","19/132","56/1933",0.339285714285714,4.96847943722944,8.15679752037021,9.88216505551672e-10,2.28188174918295e-08,1.41534038594163e-08,"ATR/TGFB2/TERF2/PNKP/TAOK3/CDKN2D/IER3/MCRS1/CREB3/SLF2/ATM/BCL7A/ZNF365/WDR76/PARP3/FGF10/BMP7/FOXM1/MDC1",19
"GO:0007088","regulation of mitotic nuclear division","9/132","11/1933",0.818181818181818,11.9814049586777,9.88578653291964,1.2161956722276e-09,2.76639134996248e-08,1.71585815186235e-08,"XRCC3/RB1/KNTC1/ATM/IGF2/TOM1L2/BMP7/SPC24/CUL7",9
"GO:0043412","macromolecule modification","38/132","218/1933",0.174311926605505,2.55261328885182,6.58708327387978,7.91032253699418e-09,1.56562747355573e-07,9.71082657309743e-08,"ANXA1/KDF1/TNKS/ASCC3/CUL1/TAOK3/TPD52L1/PPP1CB/RB1/VEGFA/USP39/ZBED3/PRKCB/CDK10/VEGFB/MCRS1/SLF2/FBXW11/CCNY/ZNRF4/ATM/PIM3/HECW2/PARP3/CLSPN/CDK17/GPER1/PPP1R12A/FGF10/PRKAG1/NAA10/CEP295/PIK3R4/GRK5/MDC1/CUL7/UBE2B/CEP85",38
"GO:0042127","regulation of cell population proliferation","33/132","173/1933",0.190751445086705,2.79335260115607,6.69061554023408,9.76348337283058e-09,1.88348717217643e-07,1.16823558544995e-07,"ANXA1/ZFP36L1/TGFB2/PPP1R9B/ZNF16/KDF1/PKHD1/MIR590/WNT3A/SYF2/RB1/CDKN2D/VEGFA/CEBPA/SMIM22/RPS6KA2/DLL1/CDK10/VEGFB/CREB3/ATM/BCL7A/IGF2/MIR29A/GPER1/MIR892B/FGF10/BMP7/FOXM1/HNRNPU/GRK5/ZNF503/SIX3",33
"GO:0032886","regulation of microtubule-based process","13/132","29/1933",0.448275862068966,6.56452455590387,8.17197934801806,1.04262300635267e-08,1.98619682710184e-07,1.23194139434829e-07,"MAP10/PKHD1/CENATAC/WNT3A/XRCC3/GIT1/CCNL2/CPAP/PARP3/HNRNPU/CEP295/CHMP4C/CHMP2B",13
"GO:0006950","response to stress","55/132","404/1933",0.136138613861386,1.99360561056106,6.07763543118441,1.55190654753309e-08,2.75012276562841e-07,1.70576753939378e-07,"ANXA1/MCM5/ZFP36L1/SEH1L/ATR/TGFB2/PPP1R9B/TERF2/NYNRIN/ASCC3/PNKP/CUL1/TAOK3/MIR590/WNT3A/XRCC3/SYF2/RB1/CDKN2D/HCRT/POLD2/GIT1/SUPT16H/VEGFA/RAD54L/CEBPA/C14orf39/CEP164/IER3/HSF2BP/VEGFB/MCRS1/CREB3/SLF2/ZNRF4/ATM/BCL7A/ZNF365/WDR76/MIR29A/PARP3/CLSPN/GPER1/TICRR/FGF10/PRKAG1/MCM6/BMP7/FOXM1/PIK3R4/CHMP4C/MDC1/UPF1/CHMP2B/UBE2B",55
"GO:0034502","protein localization to chromosome","9/132","14/1933",0.642857142857143,9.41396103896104,8.55186226113194,3.7062569496781e-08,6.13949520794503e-07,3.80803059589352e-07,"ATR/TERF2/TNKS/RB1/SLF2/KNTC1/ATM/PARP3/MDC1",9
"GO:0140013","meiotic nuclear division","9/132","14/1933",0.642857142857143,9.41396103896104,8.55186226113194,3.7062569496781e-08,6.13949520794503e-07,3.80803059589352e-07,"PSMA8/IHO1/STAG3/RAD54L/C14orf39/RPS6KA2/HSF2BP/ATM/UBE2B",9
"GO:0140694","membraneless organelle assembly","15/132","43/1933",0.348837209302326,5.10835095137421,7.37402374223742,4.38518575284187e-08,7.10959902907555e-07,4.40973886455991e-07,"MAP10/TNKS/CEP135/CNTROB/KIFC1/SMIM22/KNTC1/CPAP/BCAS2/MCIDAS/HNRNPU/CEP295/CHMP4C/CHMP2B/CEP85",15
"GO:0033045","regulation of sister chromatid segregation","8/132","11/1933",0.727272727272727,10.6501377410468,8.68734028844591,5.34321192838456e-08,8.39490204005986e-07,5.20694987703671e-07,"XRCC3/RB1/KNTC1/ATM/BCL7A/HECW2/SPC24/HNRNPU",8
"GO:0008283","cell population proliferation","34/132","195/1933",0.174358974358974,2.55330225330225,6.19130304813207,6.22468523413478e-08,9.68002071104224e-07,6.0040465523663e-07,"ANXA1/ZFP36L1/TGFB2/PPP1R9B/ZNF16/KDF1/PKHD1/CUL1/MIR590/WNT3A/SYF2/RB1/CDKN2D/VEGFA/CEBPA/SMIM22/RPS6KA2/DLL1/CDK10/VEGFB/CREB3/ATM/BCL7A/IGF2/MIR29A/GPER1/MIR892B/FGF10/BMP7/FOXM1/HNRNPU/GRK5/ZNF503/SIX3",34
"GO:0080134","regulation of response to stress","28/132","146/1933",0.191780821917808,2.80842673308427,6.15104267699246,1.49020164262177e-07,2.25800662976728e-06,1.40053180931829e-06,"ANXA1/ATR/TGFB2/TERF2/PNKP/TAOK3/MIR590/RB1/CDKN2D/GIT1/CEBPA/IER3/VEGFB/MCRS1/CREB3/SLF2/ZNRF4/ATM/BCL7A/ZNF365/WDR76/MIR29A/PARP3/GPER1/FGF10/BMP7/FOXM1/MDC1",28
"GO:0019220","regulation of phosphate metabolic process","16/132","56/1933",0.285714285714286,4.18398268398268,6.54434588169195,3.63805718841075e-07,5.18168145339998e-06,3.21394525842878e-06,"ZNF16/TAOK3/TPD52L1/RB1/GIT1/VEGFA/ZBED3/IER3/VEGFB/CCNY/CLSPN/GPER1/FGF10/PRKAG1/HNRNPU/CEP85",16
"GO:0042770","signal transduction in response to DNA damage","10/132","22/1933",0.454545454545455,6.65633608815427,7.22187344386884,5.04635076069214e-07,7.05563170577507e-06,4.37626555586822e-06,"ATR/TAOK3/SYF2/IER3/ATM/WDR76/CLSPN/TICRR/FOXM1/MDC1",10
"GO:0003006","developmental process involved in reproduction","22/132","106/1933",0.207547169811321,3.03930817610063,5.84521095576467,9.80506973771278e-07,1.29938489393689e-05,8.05945320317261e-06,"TGFB2/PPP1R9B/PSMA8/RB1/IHO1/KIFC1/VEGFA/C14orf39/RPS6KA2/HSF2BP/CCNI/FBXW11/CCNY/ATM/IGF2/FGF10/PRKAG1/BCAS2/MCIDAS/BMP7/UBE2B/SIX3",22
"GO:0006275","regulation of DNA replication","7/132","12/1933",0.583333333333333,8.54229797979798,7.09356082896772,3.52181454421572e-06,4.36361411819899e-05,2.70653783543493e-05,"MCM5/ATR/HCRT/MCRS1/TICRR/MCM6/MCIDAS",7
"GO:0001932","regulation of protein phosphorylation","11/132","33/1933",0.333333333333333,4.88131313131313,6.08684890439449,5.2832064324538e-06,6.39016397068221e-05,3.96350825091354e-05,"TAOK3/TPD52L1/RB1/VEGFA/ZBED3/VEGFB/CCNY/CLSPN/GPER1/FGF10/CEP85",11
"GO:0008104","intracellular protein localization","35/132","244/1933",0.14344262295082,2.1005650769995,4.97770879877476,5.57669681172916e-06,6.63975464146504e-05,4.11831721787236e-05,"SEH1L/ATR/TGFB2/PPP1R9B/ARL8A/TERF2/TNKS/CEP135/WNT3A/RB1/PAF1/GIT1/VEGFA/PRKCB/DNM2/MCRS1/CDK20/SLF2/KNTC1/ATM/RAB35/PIM3/CPAP/PARP3/GPER1/TOM1L2/FGF10/HNRNPU/CEP295/PIK3R4/CROCC/CHMP4C/MDC1/CHMP2B/SIX3",35
"GO:0042981","regulation of apoptotic process","26/132","155/1933",0.167741935483871,2.4564027370479,5.11699658866533,6.77734375572276e-06,8.00672239048177e-05,4.96618089974625e-05,"ANXA1/ZFP36L1/TGFB2/ZNF16/PKHD1/CUL1/MIR590/TPD52L1/RB1/CDKN2D/VEGFA/RPS6KA2/IER3/DLL1/DNM2/VEGFB/CREB3/ATM/CCNL2/PIM3/MIR29A/GPER1/FGF10/BMP7/GRK5/UBE2B",26
"GO:0051246","regulation of protein metabolic process","25/132","149/1933",0.167785234899329,2.45703681106366,5.01071732935594,1.05059725888479e-05,0.000120384227258678,7.46684874142096e-05,"ZFP36L1/TAOK3/MIR590/CENATAC/TPD52L1/RB1/VEGFA/CEBPA/ZBED3/RPS6KA2/IER3/VEGFB/CDK20/FBXW11/CCNY/MIR29A/CLSPN/GPER1/SMYD5/FGF10/HNRNPU/CEP295/UPF1/UBE2B/CEP85",25
"GO:0048568","embryonic organ development","12/132","42/1933",0.285714285714286,4.18398268398268,5.64655091043999,1.1806791509019e-05,0.000134280225818992,8.32875001971648e-05,"ZFP36L1/TGFB2/WNT3A/SYF2/VEGFA/CEBPA/DLL1/CDK20/IGF2/FGF10/BMP7/SIX3",12
"GO:0010648","negative regulation of cell communication","26/132","161/1933",0.161490683229814,2.36485977790326,4.89556459037307,1.40165177374136e-05,0.000153677503826031,9.53186893464403e-05,"SEH1L/TGFB2/PKHD1/CUL1/TAOK3/RB1/CDKN2D/HCRT/GIT1/PRKCB/IER3/DLL1/CREB3/CDK20/FBXW11/ZNRF4/ATM/PIM3/MIR29A/GPER1/MTMR4/FGF10/BMP7/FOXM1/CUL7/SIX3",26
"GO:0051094","positive regulation of developmental process","23/132","134/1933",0.171641791044776,2.51351198552691,4.91537155865359,1.70972449259024e-05,0.000180945842132467,0.000112231914791377,"ANXA1/ZFP36L1/TGFB2/ZNF16/KDF1/MIR590/WNT3A/RB1/VEGFA/CEBPA/ZBED3/PRKCB/DLL1/VEGFB/BCL7A/ZNF365/IGF2/MIR29A/GPER1/FGF10/BMP7/HNRNPU/CUL7",23
"GO:0044087","regulation of cellular component biogenesis","20/132","108/1933",0.185185185185185,2.7118406285073,4.95538547150116,2.05453523392413e-05,0.000214459705239752,0.000133018935837337,"ATR/PPP1R9B/TERF2/CEP135/WNT3A/RB1/CNTROB/GIT1/VEGFA/CDK10/SLF2/ATM/CPAP/MCIDAS/BMP7/HNRNPU/CEP295/CROCC/CHMP4C/CHMP2B",20
"GO:0030030","cell projection organization","27/132","175/1933",0.154285714285714,2.25935064935065,4.72813566854772,2.23614106786786e-05,0.000228716710565814,0.000141861863577912,"TGFB2/PPP1R9B/THOC2/PKHD1/TAOK3/CEP135/WNT3A/RB1/CNTROB/GIT1/VEGFA/CEP164/CDK10/DNM2/RAB35/BCL7A/ZNF365/HECW2/CPAP/PPP1R12A/MCIDAS/BMP7/CEP295/CROCC/CUL7/UBE2B/TRAPPC4",27
"GO:0006915","apoptotic process","28/132","187/1933",0.149732620320856,2.19267541727435,4.64466741808553,2.73678637835614e-05,0.000276216055669851,0.000171323399634982,"ANXA1/ZFP36L1/TGFB2/ZNF16/PKHD1/CUL1/MIR590/TPD52L1/RB1/CDKN2D/VEGFA/RPS6KA2/PRKCB/IER3/DLL1/DNM2/VEGFB/CREB3/ATM/CCNL2/PIM3/MIR29A/GPER1/FGF10/BMP7/GRK5/UBE2B/SIX3",28
"GO:0009968","negative regulation of signal transduction","24/132","148/1933",0.162162162162162,2.37469287469288,4.7103274512777,2.97342656575006e-05,0.000292354973303426,0.000181333586148968,"SEH1L/TGFB2/PKHD1/CUL1/TAOK3/RB1/CDKN2D/GIT1/PRKCB/IER3/DLL1/CREB3/CDK20/FBXW11/ZNRF4/ATM/MIR29A/GPER1/MTMR4/FGF10/BMP7/FOXM1/CUL7/SIX3",24
"GO:0023057","negative regulation of signaling","25/132","159/1933",0.157232704402516,2.30250619401563,4.6401842100091,3.42660663042224e-05,0.000332620923870286,0.000206308599002291,"SEH1L/TGFB2/PKHD1/CUL1/TAOK3/RB1/CDKN2D/GIT1/PRKCB/IER3/DLL1/CREB3/CDK20/FBXW11/ZNRF4/ATM/PIM3/MIR29A/GPER1/MTMR4/FGF10/BMP7/FOXM1/CUL7/SIX3",25
"GO:0019953","sexual reproduction","19/132","103/1933",0.184466019417476,2.70130920859076,4.80297128763718,3.5958433497554e-05,0.000344658192769008,0.000213774732080791,"PSMA8/RB1/IHO1/STAG3/KIFC1/RAD54L/C14orf39/RPS6KA2/HSF2BP/CCNI/HORMAD2/FBXW11/CCNY/ATM/IGF2/PRKAG1/BCAS2/MCIDAS/UBE2B",19
"GO:0045596","negative regulation of cell differentiation","17/132","86/1933",0.197674418604651,2.89473220577872,4.86516176791492,3.8141411437158e-05,0.00036329694393893,0.000225335443885315,"ANXA1/ZFP36L1/TGFB2/MIR590/WNT3A/RB1/PAF1/VEGFA/CEBPA/DLL1/BCL7A/IGF2/GPER1/FGF10/BMP7/HNRNPU/SIX3",17
"GO:0048468","cell development","36/132","279/1933",0.129032258064516,1.88954056695992,4.34744181137684,4.78522551946081e-05,0.00044684239734205,0.000277154629654069,"ANXA1/ZFP36L1/TGFB2/PPP1R9B/ZNF16/THOC2/KDF1/PKHD1/TAOK3/WNT3A/RB1/PAF1/IHO1/GIT1/VEGFA/CEBPA/C14orf39/RPS6KA2/DLL1/DNM2/FBXW11/ATM/RAB35/BCL7A/ZNF365/IGF2/HECW2/GPER1/PPP1R12A/BCAS2/BMP7/HNRNPU/CUL7/UBE2B/SIX3/TRAPPC4",36
"GO:0051338","regulation of transferase activity","9/132","28/1933",0.321428571428571,4.70698051948052,5.34792735994888,5.58814842546341e-05,0.000513032421711219,0.000318209085990244,"ZNF16/TAOK3/TPD52L1/RB1/CCNY/CLSPN/POLG2/HNRNPU/CEP85",9
"GO:0030335","positive regulation of cell migration","12/132","49/1933",0.244897959183673,3.58627087198516,4.96323992409168,6.49499866585748e-05,0.00056562159810096,0.000350827597109174,"ANXA1/TGFB2/MIR590/VEGFA/SMIM22/VEGFB/CREB3/ATM/MIR29A/GPER1/FGF10/BMP7",12
"GO:0040007","growth","17/132","91/1933",0.186813186813187,2.73568098568099,4.59070577691191,8.18007600648819e-05,0.000696448929267486,0.00043197343450905,"ANXA1/ZFP36L1/TGFB2/PPP1R9B/KDF1/MIR590/WNT3A/RB1/CDKN2D/VEGFA/DLL1/DNM2/CREB3/ATM/IGF2/FGF10/SIX3",17
"GO:0010557","positive regulation of macromolecule biosynthetic process","33/132","254/1933",0.12992125984252,1.90255905511811,4.17734946103813,9.5510249381532e-05,0.000804185746173783,0.000498797347744203,"ANXA1/ATR/TGFB2/TNKS/WNT3A/RB1/PAF1/SUPT16H/VEGFA/CEBPA/ZBED3/RPS6KA2/PRKCB/DLL1/DNM2/MCRS1/CREB3/FBXW11/ATM/IGF2/MIR29A/CPAP/GPER1/PPP1R12A/SMYD5/FGF10/POLG2/MCIDAS/BMP7/FOXM1/HNRNPU/UPF1/SIX3",33
"GO:0035051","cardiocyte differentiation","8/132","24/1933",0.333333333333333,4.88131313131313,5.17863149745503,0.000110926591960236,0.000908882398641931,0.0005637355946819,"TGFB2/MIR590/WNT3A/VEGFA/DLL1/GPER1/BMP7/HNRNPU",8
"GO:0040017","positive regulation of locomotion","12/132","52/1933",0.230769230769231,3.37937062937063,4.70763779267946,0.000121533033268001,0.000979980649208642,0.000607834385266861,"ANXA1/TGFB2/MIR590/VEGFA/SMIM22/VEGFB/CREB3/ATM/MIR29A/GPER1/FGF10/BMP7",12
"GO:0022411","cellular component disassembly","11/132","45/1933",0.244444444444444,3.57962962962963,4.73910453809011,0.000135817985006714,0.00107246947746234,0.000665200711949981,"ATR/TGFB2/PPP1R9B/ASCC3/SUPT16H/PRKCB/GPER1/PIK3R4/CHMP4C/UPF1/CHMP2B",11
"GO:2000026","regulation of multicellular organismal development","23/132","152/1933",0.151315789473684,2.21585925039872,4.22675239847884,0.000138328026431006,0.0010810867296454,0.000670545574818048,"ANXA1/ZFP36L1/TGFB2/ZNF16/KDF1/MIR590/CDK18/WNT3A/RB1/PAF1/VEGFA/CEBPA/ZBED3/PRKCB/DLL1/VEGFB/MCRS1/ZNF365/MIR29A/GPER1/FGF10/BMP7/CUL7",23
"GO:1902017","regulation of cilium assembly","6/132","14/1933",0.428571428571429,6.27597402597403,5.36244498334532,0.000172635153491217,0.00131547986960307,0.000815928251763751,"CEP135/CNTROB/CDK10/CPAP/MCIDAS/CROCC",6
"GO:0009892","negative regulation of metabolic process","39/132","341/1933",0.114369501466276,1.6748200479872,3.71644152921435,0.000339351133207439,0.00241668750938382,0.00149895384958328,"ANXA1/ZFP36L1/ATR/TGFB2/TERF2/SND1/TNKS/CUL1/MIR590/RB1/HCRT/PAF1/GIT1/VEGFA/CEBPA/ZBED3/IER3/OIP5/DLL1/VEGFB/MCRS1/ATM/BCL7A/IGF2/MIR29A/ORC2/PARP3/GPER1/MIR892B/SMYD5/BMP7/FOXM1/HNRNPU/ZNF503/UPF1/UBE2B/CEP85/SIX3/GLA",39
"GO:0048477","oogenesis","5/132","11/1933",0.454545454545455,6.65633608815427,5.09200155502471,0.000455699772786874,0.00312831735913152,0.00194034327151547,"IHO1/C14orf39/RPS6KA2/ATM/BCAS2",5
"GO:0048589","developmental growth","13/132","69/1933",0.188405797101449,2.75900307422047,4.02718759153721,0.000549227405503588,0.00368732407923995,0.0022870679811835,"ANXA1/ZFP36L1/TGFB2/KDF1/MIR590/WNT3A/VEGFA/DLL1/DNM2/ATM/IGF2/FGF10/SIX3",13
