"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","direction"
"IGLV3-10",34.0585824788429,-2.67329670385087,0.57169676376227,-4.67607457886977,2.92418298529017e-06,0.000411641416243562,"Significant","Downregulated"
"IHH",8.88280014003558,-3.23978875578569,0.693624834591608,-4.67080847486266,3.00016572807847e-06,0.00041934231325511,"Significant","Downregulated"
"LRFN5",45.6535637421941,-3.45287105065579,0.741175582500264,-4.65864112658428,3.183035545105e-06,0.000441769468471333,"Significant","Downregulated"
"IGLV2-18",108.476409074578,-2.37969786647748,0.511195109915887,-4.65516555287283,3.23720487188673e-06,0.000446145689616389,"Significant","Downregulated"
"YTHDF1",50.3034260754006,-2.38766849489641,0.514781501700252,-4.63821735437322,3.51427106778107e-06,0.000480967043082149,"Significant","Downregulated"
"RNASE2",67.5956818348423,-2.77687454319275,0.599554241360661,-4.63156517230328,3.62911721593535e-06,0.000489881110216807,"Significant","Downregulated"
"IL17F",152.712410783011,-2.74131374243827,0.591784494216644,-4.63228382836728,3.61653876674196e-06,0.000489881110216807,"Significant","Downregulated"
"H4C5",25.2879065592435,-2.6461428220399,0.572150482973494,-4.6249070843876,3.74766361500648e-06,0.00050244186751393,"Significant","Downregulated"
"RHAG",48.764757816442,-2.49345354035171,0.539329483641265,-4.62324722823837,3.77779019121966e-06,0.000503058710057818,"Significant","Downregulated"
"BPGM",52.6963638027152,-3.07533966469057,0.666730395541981,-4.61256856632529,3.97723282367963e-06,0.000526062446235423,"Significant","Downregulated"
"CD7",67.9435825934127,-2.63075747884253,0.571210565982153,-4.60558266165673,4.11312555873562e-06,0.000540409856743744,"Significant","Downregulated"
"LOC129996954",59.9879121178312,-2.37193388321552,0.5154700945082,-4.60149659211275,4.19466021994157e-06,0.000546996408964264,"Significant","Downregulated"
"GBP5",76.1478284927083,-3.07393160322197,0.670905763130135,-4.58176359803564,4.61070945797034e-06,0.000590051051932983,"Significant","Downregulated"
"LOC130000170",32.189566452358,-2.33509241303726,0.510133899382109,-4.57741078541458,4.70766453668408e-06,0.000598571952832064,"Significant","Downregulated"
"CD200R1",12.0223494655121,-3.19424105010417,0.698887983559653,-4.57046211301975,4.86649900509154e-06,0.000614801040976564,"Significant","Downregulated"
"LOC127814877",56.7115165660098,-2.08925028318308,0.461362663847769,-4.52843380467487,5.94224904108355e-06,0.000731936525635466,"Significant","Downregulated"
"APOBEC3D",108.030231176829,-2.96394184605513,0.655230246396261,-4.52351194462814,6.08218853716817e-06,0.00074452032105907,"Significant","Downregulated"
"GALP",56.8899415175601,-2.12976393767393,0.472060418014419,-4.51163422392443,6.43300543936884e-06,0.000773330093981652,"Significant","Downregulated"
"GZMA",69.7157139369565,-2.82740813114912,0.628334076937804,-4.49984846425731,6.80019211763791e-06,0.000812231431844897,"Significant","Downregulated"
"SOCS1",14.7258922418031,-2.85504920720137,0.636226097560199,-4.48747578596652,7.2072000413759e-06,0.000855659629008652,"Significant","Downregulated"
"IGHV1-58",128.84212959645,-2.73100623570653,0.608870676732602,-4.48536337857817,7.2789775134271e-06,0.000859006519967792,"Significant","Downregulated"
"MPIG6B",29.937625386402,-2.97764402498347,0.664092792918505,-4.48377705154357,7.33332821408684e-06,0.000860269240733473,"Significant","Downregulated"
"GOLPH3",19.8073393475926,-2.92945029724117,0.654103893477499,-4.47857034096975,7.51446096612731e-06,0.000871847532789978,"Significant","Downregulated"
"RAET1G",28.9960730162469,-2.52996084678363,0.564925322945653,-4.47839872638708,7.52050337803411e-06,0.000871847532789978,"Significant","Downregulated"
"PIP5K1C",45.9684126181794,-2.36163545488377,0.528787051332792,-4.46613707527698,7.96445906002936e-06,0.000907303810144847,"Significant","Downregulated"
"PSMB10",98.1838463360626,-2.17852616873718,0.489663339650798,-4.44902853109401,8.6259558321452e-06,0.000977013434137457,"Significant","Downregulated"
"HRH2",39.7854160155835,-3.25471081511553,0.734214291415503,-4.43291672903932,9.29667786880249e-06,0.0010410166331725,"Significant","Downregulated"
"PHLPP1",11.332260069493,-2.94313015677354,0.665844619375064,-4.42014558822424,9.86344273407806e-06,0.00109824140905769,"Significant","Downregulated"
"RPL30",91.3576452743433,-2.34093025139233,0.533373818244635,-4.38891106259485,1.13919642173193e-05,0.00126130803817376,"Significant","Downregulated"
"STX7",42.6766587050433,-2.86128654612078,0.656031992257529,-4.36150459107118,1.29171085385705e-05,0.00141427986154526,"Significant","Downregulated"
"MARCO",101.702557463093,-2.81402744560194,0.645589316866148,-4.35885069979463,1.30747269367394e-05,0.0014236282788357,"Significant","Downregulated"
"LOC111365172",36.6195160380583,-2.11164913934991,0.485163380022231,-4.35244955885407,1.34624851988207e-05,0.00145779482581515,"Significant","Downregulated"
"TAFA3",8.49710131010004,-3.07426529991487,0.710003773384366,-4.3299281146927,1.49158024664294e-05,0.00159761214678473,"Significant","Downregulated"
"FCER1A",24.7501307189553,-2.42310027776176,0.560436642922038,-4.32359359146835,1.53507970778727e-05,0.00162689301752117,"Significant","Downregulated"
"TNIP1",113.768936544387,-2.34831229365041,0.54314527848843,-4.32354360178873,1.53542775146609e-05,0.00162689301752117,"Significant","Downregulated"
"ITGB7",41.1761106716285,-2.52012161655159,0.585328039193097,-4.30548589475689,1.66619607652855e-05,0.00174666980192684,"Significant","Downregulated"
"IFNA17",30.2694908029461,-2.42330707863451,0.567967284506292,-4.26663144998041,1.98446587222763e-05,0.00205841333736117,"Significant","Downregulated"
"LOC127270633",141.103182221101,-2.59019166694846,0.609472672471793,-4.24988975542351,2.13875754568398e-05,0.00220683946127434,"Significant","Downregulated"
"CD276",141.233721803886,-2.40728698967443,0.566676657403763,-4.24807861453734,2.15611739643036e-05,0.00221316466921091,"Significant","Downregulated"
"FOXJ1",110.007906763192,-2.53658974829268,0.597933719991998,-4.24225907233769,2.21281038109212e-05,0.00224794159745173,"Significant","Downregulated"
"CSK",10.7213177860111,-2.50994280966166,0.59261157218304,-4.2353928398928,2.28152488172613e-05,0.00230586114713121,"Significant","Downregulated"
"IL36RN",28.607291301339,-2.44210770844702,0.57689604784757,-4.23318502104262,2.30404797746222e-05,0.00231674375203191,"Significant","Downregulated"
"LOC127830056",28.2464967584158,-2.29155385952729,0.543338804994076,-4.21754131761723,2.46980574686814e-05,0.0024708087136689,"Significant","Downregulated"
"TAP1",14.7090408761651,-2.99876490649259,0.717404346195771,-4.1800205454488,2.91482759588164e-05,0.00287227111298177,"Significant","Downregulated"
"PDPK1",18.532294698548,-2.83776626750231,0.683170226617546,-4.15382017092931,3.26970172133994e-05,0.00314988891375662,"Significant","Downregulated"
"IGHV6-1",72.9914932247379,-2.85690377429851,0.688040189531509,-4.15223386332097,3.29245543045394e-05,0.00314988891375662,"Significant","Downregulated"
"TRIM49",92.3147858240594,-2.52558226834946,0.608189485556796,-4.15262402314847,3.28684514084818e-05,0.00314988891375662,"Significant","Downregulated"
"GP2",18.3039062097243,-2.15662857241895,0.519150718857545,-4.15414732963267,3.26502763461096e-05,0.00314988891375662,"Significant","Downregulated"
"CCR7",28.0763096506498,-2.80642842763117,0.677880521047594,-4.14000452955062,3.47298963838824e-05,0.00325931808539787,"Significant","Downregulated"
"LOC127815061",284.849330254786,-2.35830608520624,0.57237325954026,-4.12022407737998,3.78504105985796e-05,0.00350397893922888,"Significant","Downregulated"
"HLA-H",87.7062235524628,-2.9123444863679,0.708826432090348,-4.10868493966755,3.97918484943128e-05,0.00366456892582204,"Significant","Downregulated"
"DHRS2",15.1662980318825,-2.42897585651317,0.592088341937763,-4.10238757372543,4.08908560925336e-05,0.0037309119994058,"Significant","Downregulated"
"IGHV3-43",38.9886605513049,-2.68679435435617,0.655798156571399,-4.09698369449998,4.18568372809258e-05,0.00380144953517275,"Significant","Downregulated"
"NOTCH2",23.1214977930563,-2.91889855750862,0.71279694741317,-4.09499306654114,4.22181022045849e-05,0.00380988217270034,"Significant","Downregulated"
"TRGV9",75.2274506059861,-2.36045085696586,0.579310841762344,-4.07458429361523,4.60966146879303e-05,0.00411073340393544,"Significant","Downregulated"
"LOC127402059",130.928079223438,-1.88130029114533,0.462224995038344,-4.0700964061653,4.69936869430408e-05,0.00417185397420472,"Significant","Downregulated"
"MTURN",23.4114207348956,-2.47632444661615,0.609057308358815,-4.06583159356373,4.78614890297351e-05,0.00422983957756959,"Significant","Downregulated"
"LOC127458278",57.8491562157946,-1.86564533301331,0.461217028469145,-4.04504868175769,5.23122524837256e-05,0.00458208831977451,"Significant","Downregulated"
"DLEC1P1",108.595302131767,-1.95250783786705,0.482824259321674,-4.04393068527698,5.25624648023686e-05,0.00458363299258885,"Significant","Downregulated"
"DAPK2",33.9801945017997,-2.04581021384879,0.506985273339701,-4.03524583736383,5.45451563620344e-05,0.00473557683516729,"Significant","Downregulated"
"IFNL1",122.914595444194,-2.39077366560417,0.59507398602014,-4.01760742658857,5.8792035335752e-05,0.00501927244441972,"Significant","Downregulated"
"CDH26",18.1564062727237,-2.67461004647237,0.66636660369579,-4.01372162356051,5.9768831107952e-05,0.00507725915291172,"Significant","Downregulated"
"PIK3AP1",61.9387184844702,-2.61261322473693,0.651465217341574,-4.01036487473298,6.06249880228435e-05,0.00512788525302232,"Significant","Downregulated"
"IKBKE",11.8719554480191,-2.58004206133159,0.643615618168319,-4.00866913185574,6.10618986380403e-05,0.00513772223602437,"Significant","Downregulated"
"CHUK",59.2933436449322,-2.18391995498307,0.545445740178916,-4.00391788607003,6.2301997491524e-05,0.00520274477357184,"Significant","Downregulated"
"OPA1",32.7537029551199,-2.48446882984406,0.621704979597567,-3.99621832119194,6.43623815064459e-05,0.00532963787701276,"Significant","Downregulated"
"LOC127402090",55.895692789852,-2.71714154509612,0.682370620056226,-3.98191461536289,6.83623402943287e-05,0.00561368751050262,"Significant","Downregulated"
"LOC129661421",323.857845973223,-2.24064991863617,0.564194382119219,-3.97141479895613,7.14470533774445e-05,0.00584264949362106,"Significant","Downregulated"
"RBM47",88.4436174281105,-2.21764720757628,0.562791422791019,-3.94044244060869,8.13314645440698e-05,0.00656679459840738,"Significant","Downregulated"
"LILRA2",13.2535839166981,-2.09482106473383,0.532135960870366,-3.93662751396752,8.26347199312477e-05,0.00656679459840738,"Significant","Downregulated"
"TRAV38-1",96.6281429602237,-2.779546070302,0.707064989349879,-3.93110408826449,8.45566511478042e-05,0.00665931936977497,"Significant","Downregulated"
"PTPN2",4.51774207655071,-3.78226434635449,0.962315883071981,-3.93037713799387,8.48127238590175e-05,0.00665931936977497,"Significant","Downregulated"
"VPS26B",27.6104863339045,-2.19529936881931,0.559012987894208,-3.92709904127445,8.59765836488386e-05,0.00672391472440997,"Significant","Downregulated"
"ARMC5",13.6443085440744,-2.79518898181895,0.713623419748155,-3.91689636924388,8.96962834033861e-05,0.00698709230558867,"Significant","Downregulated"
"LOC113748403",50.7943926537508,-2.18054555327606,0.557033690824754,-3.91456672943337,9.05666890218421e-05,0.00702711931985222,"Significant","Downregulated"
"TRAV26-2",97.4736991249631,-2.13948805595228,0.54773027099155,-3.90609789026118,9.37985259784314e-05,0.00724933862738402,"Significant","Downregulated"
"TRIM61",16.0724169335862,-2.42233699928663,0.620427710911825,-3.90430175294168,9.44978168095135e-05,0.00727485536594489,"Significant","Downregulated"
"ANO6",119.173785264541,-2.16626412302662,0.558839300486463,-3.87636324278001,0.000106029359583418,0.00806805644274128,"Significant","Downregulated"
"CRCP",71.0567044759751,-2.45845753000926,0.637346841676407,-3.85733068597752,0.000114632031199319,0.00855745481392495,"Significant","Downregulated"
"DEFB108B",35.4234300669589,-2.20739019321151,0.57427047045901,-3.843816296957,0.000121135697146681,0.00897497112543905,"Significant","Downregulated"
"LOC127822021",86.4742766251274,-2.0233021430819,0.5267731700079,-3.84093620989002,0.00012256596476473,0.00904692896473147,"Significant","Downregulated"
"NR1D1",10.7052597909454,-2.86955131582273,0.748864149903032,-3.83187166349771,0.000127172076736822,0.00928261958640474,"Significant","Downregulated"
"MIR140",48.7230290524266,-2.12926614734192,0.556297014677683,-3.82757068825115,0.000129414224246384,0.00938431034546653,"Significant","Downregulated"
"LOC127816287",78.1497078784974,-2.2711767611801,0.593464578090028,-3.82697947784773,0.000129725325617444,0.00938431034546653,"Significant","Downregulated"
"STMP1",50.3811046458693,-2.28620357044504,0.603603267594188,-3.78759309829,0.000152113695623348,0.0108357230954097,"Significant","Downregulated"
"ZBTB12",157.409678385419,-2.15320796569116,0.568535033920874,-3.78729161304567,0.000152298320348513,0.0108357230954097,"Significant","Downregulated"
"NECTIN1",44.3645588231514,-2.30548051465015,0.609730099248632,-3.78114926176547,0.000156106039340547,0.0110666828177104,"Significant","Downregulated"
"LOC129993064",86.2243567998105,-2.06180710041006,0.54662545187203,-3.77188272765014,0.000162020405149186,0.0114447962174916,"Significant","Downregulated"
"IL7R",27.0587444812441,-2.14536848952307,0.572090714319041,-3.75004948660407,0.000176799676113612,0.0124441714887395,"Significant","Downregulated"
"DEFB113",17.9109700761202,-1.95243147997325,0.520952987942138,-3.74780743207889,0.00017838712302282,0.0125112221371307,"Significant","Downregulated"
"PIANP",40.115327155495,-2.56912331084688,0.686746205951919,-3.74100837919556,0.000183283409442354,0.0128090405435812,"Significant","Downregulated"
"EDN2",135.685883514132,-2.02928833195611,0.544126221665608,-3.72944410902368,0.00019190266513972,0.0133640202281752,"Significant","Downregulated"
"FFAR2",52.6789478525426,-2.30999659318951,0.620869115587639,-3.72058544255845,0.000198761480431524,0.0137445307240157,"Significant","Downregulated"
"PPIB",47.2295488251442,-2.20276891561842,0.595353248329771,-3.69993599900255,0.000215653846115105,0.0148087317046567,"Significant","Downregulated"
"CEACAM21",16.8569188000978,-2.09125998032611,0.566233344350987,-3.69328299223194,0.000221377430790546,0.015096561958547,"Significant","Downregulated"
"ZP4",87.5971221843212,-2.3353199394015,0.633156036315639,-3.68837980759185,0.000225686592039946,0.0153373495031837,"Significant","Downregulated"
"IL7",32.1473180825148,-2.44542076658127,0.664090804941935,-3.68235902136167,0.0002310856631568,0.0155966994845692,"Significant","Downregulated"
"PYHIN1",134.635079676032,-2.67813562451977,0.729224585496165,-3.67257999495117,0.000240113951215143,0.0161507363499933,"Significant","Downregulated"
"LOC127820123",95.49704334563,-1.95760179715845,0.534058772689695,-3.66551753714171,0.000246838894715641,0.0165466018267206,"Significant","Downregulated"
"CXCL14",77.776794063641,-2.50670619618578,0.687914048983198,-3.64392353941736,0.000268513217578565,0.0179385033628419,"Significant","Downregulated"
"TRBV5-8",16.7012666666321,-2.38111154705658,0.653865502411709,-3.64159225142498,0.000270956995239674,0.0179798668760387,"Significant","Downregulated"
"VAMP4",79.2437296008214,-2.0808752971332,0.573329960559341,-3.62945500894999,0.000284020226324535,0.0187206375264345,"Significant","Downregulated"
"LYVE1",32.0307120384619,-2.17151930294628,0.598509556330534,-3.62821157987832,0.000285391338358601,0.0187483083212377,"Significant","Downregulated"
"DHX15",21.521259282848,-2.14273785819194,0.591455280504393,-3.62282310906855,0.000291405110808486,0.0190797738332679,"Significant","Downregulated"
"SPPL2A",65.7017249418205,-1.88164807498603,0.520548569083632,-3.61474065388069,0.000300648433157719,0.0195050674590767,"Significant","Downregulated"
"LOC127458485",168.148498949631,-2.1205312097211,0.586645418386613,-3.61467275335238,0.000300727236504467,0.0195050674590767,"Significant","Downregulated"
"ZDHHC4",77.2685613160997,-1.60676893267891,0.444871178743796,-3.61176225714603,0.000304123315044948,0.0196513517800191,"Significant","Downregulated"
"LOC128854699",35.8680873613237,-1.88823799592998,0.523067847019979,-3.60992939383991,0.000306280364329621,0.0197260569287849,"Significant","Downregulated"
"BMP6",30.322047126018,-2.24664649821849,0.62288866076303,-3.60681874585159,0.00030997402537532,0.0198989188667648,"Significant","Downregulated"
"TRAV19",16.2951500939157,-2.24625348208749,0.624711347757338,-3.59566620672307,0.000323562465817185,0.0207037957023542,"Significant","Downregulated"
"RET",92.7140324134766,-2.16217543481462,0.601764530044834,-3.59305895721957,0.000326818604214788,0.0208444694235115,"Significant","Downregulated"
